block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291412002,409.0,332.0,77.0,292.0,117.0,54.0,355.0,0.0,409.0,80.0,329.0,0.0,409.0,19.0,390.0,116.0,293.0,36.0,373.0,0.0,409.0
480291501003,350.0,226.0,124.0,217.0,133.0,18.0,332.0,37.0,313.0,171.0,179.0,16.0,334.0,16.0,334.0,134.0,216.0,16.0,334.0,75.0,275.0
480291309002,429.0,262.0,167.0,262.0,167.0,16.0,413.0,6.0,423.0,245.0,184.0,65.0,364.0,0.0,429.0,99.0,330.0,89.0,340.0,66.0,363.0
480291309003,461.0,394.0,67.0,386.0,75.0,30.0,431.0,42.0,419.0,118.0,343.0,49.0,412.0,0.0,461.0,128.0,333.0,43.0,418.0,48.0,413.0
480291310003,236.0,208.0,28.0,197.0,39.0,34.0,202.0,28.0,208.0,44.0,192.0,43.0,193.0,0.0,236.0,47.0,189.0,30.0,206.0,22.0,214.0
480291310004,294.0,164.0,130.0,162.0,132.0,27.0,267.0,15.0,279.0,72.0,222.0,22.0,272.0,0.0,294.0,72.0,222.0,29.0,265.0,60.0,234.0
480291310001,955.0,587.0,368.0,536.0,419.0,70.0,885.0,83.0,872.0,410.0,545.0,184.0,771.0,37.0,918.0,349.0,606.0,214.0,741.0,86.0,869.0
480291310002,283.0,199.0,84.0,167.0,116.0,41.0,242.0,27.0,256.0,140.0,143.0,40.0,243.0,0.0,283.0,83.0,200.0,76.0,207.0,46.0,237.0
480291405003,450.0,333.0,117.0,333.0,117.0,39.0,411.0,51.0,399.0,164.0,286.0,20.0,430.0,22.0,428.0,50.0,400.0,122.0,328.0,46.0,404.0
480291405002,453.0,415.0,38.0,415.0,38.0,20.0,433.0,51.0,402.0,63.0,390.0,55.0,398.0,18.0,435.0,82.0,371.0,71.0,382.0,35.0,418.0
480291405001,286.0,225.0,61.0,207.0,79.0,56.0,230.0,0.0,286.0,133.0,153.0,0.0,286.0,0.0,286.0,34.0,252.0,23.0,263.0,10.0,276.0
480291405004,199.0,186.0,13.0,176.0,23.0,19.0,180.0,23.0,176.0,68.0,131.0,32.0,167.0,7.0,192.0,29.0,170.0,24.0,175.0,14.0,185.0
480291406002,284.0,199.0,85.0,178.0,106.0,21.0,263.0,21.0,263.0,106.0,178.0,23.0,261.0,5.0,279.0,67.0,217.0,58.0,226.0,24.0,260.0
480291406001,540.0,443.0,97.0,424.0,116.0,36.0,504.0,41.0,499.0,95.0,445.0,45.0,495.0,9.0,531.0,158.0,382.0,85.0,455.0,53.0,487.0
480291407003,373.0,150.0,223.0,150.0,223.0,11.0,362.0,39.0,334.0,128.0,245.0,84.0,289.0,18.0,355.0,153.0,220.0,57.0,316.0,23.0,350.0
480291407001,411.0,339.0,72.0,339.0,72.0,0.0,411.0,77.0,334.0,84.0,327.0,0.0,411.0,0.0,411.0,31.0,380.0,72.0,339.0,69.0,342.0
480291407004,267.0,196.0,71.0,196.0,71.0,0.0,267.0,34.0,233.0,124.0,143.0,21.0,246.0,0.0,267.0,31.0,236.0,47.0,220.0,32.0,235.0
480291407005,371.0,290.0,81.0,290.0,81.0,0.0,371.0,7.0,364.0,96.0,275.0,0.0,371.0,0.0,371.0,87.0,284.0,35.0,336.0,88.0,283.0
480291413001,374.0,294.0,80.0,294.0,80.0,23.0,351.0,5.0,369.0,131.0,243.0,50.0,324.0,24.0,350.0,159.0,215.0,17.0,357.0,66.0,308.0
480291413003,957.0,853.0,104.0,853.0,104.0,32.0,925.0,39.0,918.0,161.0,796.0,104.0,853.0,52.0,905.0,218.0,739.0,87.0,870.0,50.0,907.0
480291702003,292.0,277.0,15.0,277.0,15.0,7.0,285.0,0.0,292.0,35.0,257.0,46.0,246.0,0.0,292.0,146.0,146.0,0.0,292.0,61.0,231.0
480291806023,305.0,214.0,91.0,214.0,91.0,32.0,273.0,78.0,227.0,151.0,154.0,0.0,305.0,0.0,305.0,0.0,305.0,77.0,228.0,34.0,271.0
480291806021,265.0,247.0,18.0,236.0,29.0,22.0,243.0,18.0,247.0,48.0,217.0,8.0,257.0,0.0,265.0,10.0,255.0,45.0,220.0,9.0,256.0
480291911021,345.0,183.0,162.0,174.0,171.0,39.0,306.0,203.0,142.0,219.0,126.0,10.0,335.0,0.0,345.0,0.0,345.0,121.0,224.0,25.0,320.0
480291911022,332.0,226.0,106.0,220.0,112.0,14.0,318.0,70.0,262.0,122.0,210.0,20.0,312.0,9.0,323.0,9.0,323.0,136.0,196.0,50.0,282.0
480291911023,312.0,287.0,25.0,287.0,25.0,57.0,255.0,97.0,215.0,53.0,259.0,12.0,300.0,0.0,312.0,0.0,312.0,45.0,267.0,53.0,259.0
480291209012,676.0,482.0,194.0,436.0,240.0,94.0,582.0,174.0,502.0,288.0,388.0,40.0,636.0,8.0,668.0,85.0,591.0,163.0,513.0,61.0,615.0
480291209011,321.0,250.0,71.0,250.0,71.0,101.0,220.0,101.0,220.0,66.0,255.0,21.0,300.0,0.0,321.0,51.0,270.0,51.0,270.0,8.0,313.0
480291211122,621.0,503.0,118.0,487.0,134.0,111.0,510.0,90.0,531.0,180.0,441.0,42.0,579.0,9.0,612.0,52.0,569.0,99.0,522.0,55.0,566.0
480291519001,506.0,429.0,77.0,412.0,94.0,35.0,471.0,76.0,430.0,189.0,317.0,34.0,472.0,18.0,488.0,207.0,299.0,71.0,435.0,86.0,420.0
480291409002,338.0,238.0,100.0,238.0,100.0,9.0,329.0,28.0,310.0,141.0,197.0,13.0,325.0,0.0,338.0,87.0,251.0,52.0,286.0,52.0,286.0
480291417001,795.0,667.0,128.0,639.0,156.0,35.0,760.0,127.0,668.0,225.0,570.0,61.0,734.0,11.0,784.0,215.0,580.0,111.0,684.0,140.0,655.0
480291417002,759.0,600.0,159.0,591.0,168.0,63.0,696.0,96.0,663.0,147.0,612.0,60.0,699.0,20.0,739.0,72.0,687.0,118.0,641.0,103.0,656.0
