block_group,household_pub_assist,count_household_pub_assist
480291909023,house_pub_assist_yes,7.0
480291810012,house_pub_assist_yes,0.0
480291810042,house_pub_assist_yes,0.0
480291810041,house_pub_assist_yes,38.0
480291901004,house_pub_assist_yes,15.0
480291901003,house_pub_assist_yes,24.0
480291901002,house_pub_assist_yes,0.0
480291719021,house_pub_assist_yes,61.0
480291311001,house_pub_assist_yes,0.0
480291203008,house_pub_assist_yes,0.0
480291203007,house_pub_assist_yes,0.0
480291501001,house_pub_assist_yes,7.0
480291501004,house_pub_assist_yes,20.0
480291506004,house_pub_assist_yes,12.0
480291506003,house_pub_assist_yes,15.0
480291511007,house_pub_assist_yes,0.0
480291511005,house_pub_assist_yes,17.0
480291511004,house_pub_assist_yes,0.0
480291918042,house_pub_assist_yes,20.0
480291918041,house_pub_assist_yes,21.0
480291210004,house_pub_assist_yes,0.0
480291210003,house_pub_assist_yes,28.0
480291210005,house_pub_assist_yes,105.0
480291210006,house_pub_assist_yes,11.0
480291211102,house_pub_assist_yes,0.0
480291215062,house_pub_assist_yes,0.0
480291215061,house_pub_assist_yes,0.0
480291305001,house_pub_assist_yes,27.0
480291305003,house_pub_assist_yes,59.0
480291305002,house_pub_assist_yes,0.0
480291305004,house_pub_assist_yes,0.0
480291904003,house_pub_assist_yes,0.0
480291211081,house_pub_assist_yes,0.0
480291211083,house_pub_assist_yes,0.0
480291211084,house_pub_assist_yes,0.0
480291207015,house_pub_assist_yes,0.0
480291215042,house_pub_assist_yes,0.0
480291215041,house_pub_assist_yes,0.0
480291503001,house_pub_assist_yes,23.0
480291503004,house_pub_assist_yes,6.0
480291503003,house_pub_assist_yes,0.0
480291602003,house_pub_assist_yes,6.0
480291508002,house_pub_assist_yes,11.0
480291508003,house_pub_assist_yes,0.0
480291712003,house_pub_assist_yes,0.0
480291418001,house_pub_assist_yes,0.0
480291418002,house_pub_assist_yes,12.0
480291512005,house_pub_assist_yes,0.0
480291512003,house_pub_assist_yes,0.0
480291512001,house_pub_assist_yes,0.0
480291107001,house_pub_assist_yes,5.0
480291904001,house_pub_assist_yes,0.0
480291719121,house_pub_assist_yes,10.0
480291817122,house_pub_assist_yes,12.0
480291816023,house_pub_assist_yes,0.0
480291816021,house_pub_assist_yes,0.0
480291818081,house_pub_assist_yes,16.0
480291821021,house_pub_assist_yes,0.0
480291911011,house_pub_assist_yes,0.0
480291911012,house_pub_assist_yes,4.0
480291219082,house_pub_assist_yes,5.0
480291219091,house_pub_assist_yes,0.0
480291219092,house_pub_assist_yes,10.0
480291219101,house_pub_assist_yes,0.0
480291219102,house_pub_assist_yes,0.0
480291304011,house_pub_assist_yes,10.0
480291304012,house_pub_assist_yes,0.0
480291304013,house_pub_assist_yes,21.0
480291304014,house_pub_assist_yes,17.0
480291304021,house_pub_assist_yes,6.0
480291304022,house_pub_assist_yes,22.0
480291304023,house_pub_assist_yes,0.0
480291314011,house_pub_assist_yes,96.0
480291314012,house_pub_assist_yes,18.0
480291314021,house_pub_assist_yes,12.0
480291719182,house_pub_assist_yes,0.0
480291719184,house_pub_assist_yes,12.0
480291719191,house_pub_assist_yes,19.0
480291719202,house_pub_assist_yes,0.0
480291719211,house_pub_assist_yes,12.0
480291719213,house_pub_assist_yes,6.0
480291719221,house_pub_assist_yes,21.0
480291719232,house_pub_assist_yes,19.0
480291719233,house_pub_assist_yes,23.0
480291719241,house_pub_assist_yes,23.0
480291720022,house_pub_assist_yes,36.0
480291719242,house_pub_assist_yes,0.0
480291719252,house_pub_assist_yes,0.0
480291719254,house_pub_assist_yes,44.0
480291720031,house_pub_assist_yes,6.0
480291720032,house_pub_assist_yes,0.0
