block_group,leave_time,count_leave_time
480291211081,time_leave_to_work_00_05,0.0
480291211083,time_leave_to_work_00_05,13.0
480291211084,time_leave_to_work_00_05,10.0
480291207015,time_leave_to_work_00_05,0.0
480291215042,time_leave_to_work_00_05,0.0
480291215041,time_leave_to_work_00_05,13.0
480291503001,time_leave_to_work_00_05,0.0
480291503004,time_leave_to_work_00_05,38.0
480291503003,time_leave_to_work_00_05,49.0
480291602003,time_leave_to_work_00_05,12.0
480291508002,time_leave_to_work_00_05,0.0
480291508003,time_leave_to_work_00_05,0.0
480291712003,time_leave_to_work_00_05,0.0
480291418001,time_leave_to_work_00_05,0.0
480291418002,time_leave_to_work_00_05,0.0
480291512005,time_leave_to_work_00_05,89.0
480291512003,time_leave_to_work_00_05,0.0
480291512001,time_leave_to_work_00_05,13.0
480291107001,time_leave_to_work_00_05,5.0
480291904001,time_leave_to_work_00_05,0.0
480291719121,time_leave_to_work_00_05,43.0
480291817122,time_leave_to_work_00_05,10.0
480291816023,time_leave_to_work_00_05,0.0
480291816021,time_leave_to_work_00_05,21.0
480291818081,time_leave_to_work_00_05,18.0
480291821021,time_leave_to_work_00_05,58.0
480291911011,time_leave_to_work_00_05,7.0
480291911012,time_leave_to_work_00_05,0.0
480291219082,time_leave_to_work_00_05,41.0
480291219091,time_leave_to_work_00_05,210.0
480291219092,time_leave_to_work_00_05,96.0
480291219101,time_leave_to_work_00_05,20.0
480291219102,time_leave_to_work_00_05,0.0
480291304011,time_leave_to_work_00_05,13.0
480291304012,time_leave_to_work_00_05,23.0
480291304013,time_leave_to_work_00_05,103.0
480291304014,time_leave_to_work_00_05,24.0
480291304021,time_leave_to_work_00_05,28.0
480291304022,time_leave_to_work_00_05,0.0
480291304023,time_leave_to_work_00_05,0.0
480291314011,time_leave_to_work_00_05,292.0
480291314012,time_leave_to_work_00_05,108.0
480291314021,time_leave_to_work_00_05,22.0
480291719182,time_leave_to_work_00_05,47.0
480291719184,time_leave_to_work_00_05,11.0
480291719191,time_leave_to_work_00_05,140.0
480291719202,time_leave_to_work_00_05,149.0
480291719211,time_leave_to_work_00_05,47.0
480291719213,time_leave_to_work_00_05,6.0
480291719221,time_leave_to_work_00_05,34.0
480291719232,time_leave_to_work_00_05,0.0
480291719233,time_leave_to_work_00_05,100.0
480291719241,time_leave_to_work_00_05,211.0
480291720022,time_leave_to_work_00_05,99.0
480291719242,time_leave_to_work_00_05,67.0
480291719252,time_leave_to_work_00_05,0.0
480291719254,time_leave_to_work_00_05,11.0
480291720031,time_leave_to_work_00_05,57.0
480291720032,time_leave_to_work_00_05,35.0
480291720051,time_leave_to_work_00_05,92.0
480291720052,time_leave_to_work_00_05,155.0
480291720062,time_leave_to_work_00_05,49.0
480291720063,time_leave_to_work_00_05,18.0
