block_group,commute_time,count_commute_time
480291618012,commute_time_tot_00_14,50.0
480291618022,commute_time_tot_00_14,198.0
480291619011,commute_time_tot_00_14,235.0
480291619022,commute_time_tot_00_14,160.0
480291619023,commute_time_tot_00_14,44.0
480291620032,commute_time_tot_00_14,174.0
480291620033,commute_time_tot_00_14,44.0
480291620042,commute_time_tot_00_14,183.0
480291713011,commute_time_tot_00_14,25.0
480291713021,commute_time_tot_00_14,369.0
480291713022,commute_time_tot_00_14,17.0
480291716011,commute_time_tot_00_14,87.0
480291716013,commute_time_tot_00_14,97.0
480291716021,commute_time_tot_00_14,207.0
480291719022,commute_time_tot_00_14,320.0
480291719023,commute_time_tot_00_14,493.0
480291719131,commute_time_tot_00_14,279.0
480291719132,commute_time_tot_00_14,162.0
480291719142,commute_time_tot_00_14,139.0
480291719143,commute_time_tot_00_14,250.0
480291719161,commute_time_tot_00_14,261.0
480291719162,commute_time_tot_00_14,86.0
480291719171,commute_time_tot_00_14,240.0
480291719172,commute_time_tot_00_14,315.0
480291215053,commute_time_tot_00_14,129.0
480291216051,commute_time_tot_00_14,123.0
480291216052,commute_time_tot_00_14,53.0
480291216062,commute_time_tot_00_14,392.0
480291216063,commute_time_tot_00_14,178.0
480291217011,commute_time_tot_00_14,191.0
480291217012,commute_time_tot_00_14,135.0
480291217014,commute_time_tot_00_14,165.0
480291217021,commute_time_tot_00_14,456.0
480291217023,commute_time_tot_00_14,251.0
480291218081,commute_time_tot_00_14,52.0
480291218091,commute_time_tot_00_14,102.0
480291218092,commute_time_tot_00_14,143.0
480291218101,commute_time_tot_00_14,411.0
480291218102,commute_time_tot_00_14,62.0
480291218112,commute_time_tot_00_14,41.0
480291218121,commute_time_tot_00_14,188.0
480291219032,commute_time_tot_00_14,195.0
480291218123,commute_time_tot_00_14,99.0
480291218124,commute_time_tot_00_14,42.0
480291219031,commute_time_tot_00_14,181.0
480291219042,commute_time_tot_00_14,180.0
480291219051,commute_time_tot_00_14,175.0
480291219061,commute_time_tot_00_14,258.0
480291219062,commute_time_tot_00_14,395.0
480291219072,commute_time_tot_00_14,363.0
480291219081,commute_time_tot_00_14,26.0
480291209024,commute_time_tot_00_14,386.0
480291211103,commute_time_tot_00_14,258.0
480291211183,commute_time_tot_00_14,129.0
480291211192,commute_time_tot_00_14,397.0
480291211193,commute_time_tot_00_14,94.0
480291211202,commute_time_tot_00_14,55.0
480291211211,commute_time_tot_00_14,179.0
480291211212,commute_time_tot_00_14,152.0
480291211221,commute_time_tot_00_14,105.0
480291211222,commute_time_tot_00_14,114.0
480291211223,commute_time_tot_00_14,355.0
480291215014,commute_time_tot_00_14,123.0
480291713023,commute_time_tot_00_14,30.0
480291713024,commute_time_tot_00_14,53.0
480291714012,commute_time_tot_00_14,260.0
480291714021,commute_time_tot_00_14,32.0
480291714023,commute_time_tot_00_14,200.0
480291715011,commute_time_tot_00_14,115.0
480291715021,commute_time_tot_00_14,210.0
480291715022,commute_time_tot_00_14,40.0
480291715024,commute_time_tot_00_14,101.0
480291914121,commute_time_tot_00_14,142.0
480291914131,commute_time_tot_00_14,167.0
480291914132,commute_time_tot_00_14,427.0
480291915031,commute_time_tot_00_14,166.0
480291915032,commute_time_tot_00_14,77.0
480291915033,commute_time_tot_00_14,184.0
480291915041,commute_time_tot_00_14,72.0
480291915042,commute_time_tot_00_14,116.0
480291915051,commute_time_tot_00_14,129.0
480291915052,commute_time_tot_00_14,153.0
480291915061,commute_time_tot_00_14,234.0
480291915062,commute_time_tot_00_14,381.0
480291915063,commute_time_tot_00_14,71.0
480291917012,commute_time_tot_00_14,61.0
480291917021,commute_time_tot_00_14,419.0
480291917023,commute_time_tot_00_14,101.0
480291917024,commute_time_tot_00_14,37.0
480291918061,commute_time_tot_00_14,66.0
480291918062,commute_time_tot_00_14,130.0
480291918071,commute_time_tot_00_14,261.0
480291918072,commute_time_tot_00_14,320.0
480291918082,commute_time_tot_00_14,87.0
480291918091,commute_time_tot_00_14,115.0
480291918101,commute_time_tot_00_14,220.0
480291918102,commute_time_tot_00_14,93.0
480291918121,commute_time_tot_00_14,106.0
480291918122,commute_time_tot_00_14,51.0
480291918132,commute_time_tot_00_14,160.0
480291821062,commute_time_tot_00_14,113.0
480291905031,commute_time_tot_00_14,221.0
480291905033,commute_time_tot_00_14,237.0
480291905041,commute_time_tot_00_14,181.0
480291906031,commute_time_tot_00_14,243.0
480291906032,commute_time_tot_00_14,96.0
480291906042,commute_time_tot_00_14,111.0
480291906043,commute_time_tot_00_14,158.0
480291910052,commute_time_tot_00_14,106.0
480291910061,commute_time_tot_00_14,102.0
480291910063,commute_time_tot_00_14,286.0
480291801014,commute_time_tot_00_14,58.0
