block_group,f_biz_type,f_count_biz_type
480291720062,workers_f_for_profit,315.0
480291720063,workers_f_for_profit,356.0
480291720072,workers_f_for_profit,346.0
480291720073,workers_f_for_profit,656.0
480291801012,workers_f_for_profit,364.0
480291315031,workers_f_for_profit,91.0
480291315032,workers_f_for_profit,194.0
480291315041,workers_f_for_profit,254.0
480291315042,workers_f_for_profit,71.0
480291315051,workers_f_for_profit,266.0
480291315052,workers_f_for_profit,489.0
480291315062,workers_f_for_profit,421.0
480291316081,workers_f_for_profit,300.0
480291315071,workers_f_for_profit,469.0
480291315073,workers_f_for_profit,429.0
480291316012,workers_f_for_profit,570.0
480291316082,workers_f_for_profit,420.0
480291316092,workers_f_for_profit,221.0
480291316093,workers_f_for_profit,568.0
480291316102,workers_f_for_profit,356.0
480291316111,workers_f_for_profit,169.0
480291316131,workers_f_for_profit,258.0
480291316132,workers_f_for_profit,303.0
480291316142,workers_f_for_profit,82.0
480291316151,workers_f_for_profit,738.0
480291316153,workers_f_for_profit,381.0
480291316154,workers_f_for_profit,307.0
480291318012,workers_f_for_profit,140.0
480291318021,workers_f_for_profit,387.0
480291318023,workers_f_for_profit,292.0
480291411011,workers_f_for_profit,100.0
480291411013,workers_f_for_profit,169.0
480291411021,workers_f_for_profit,62.0
480291411023,workers_f_for_profit,392.0
480291414022,workers_f_for_profit,260.0
480291414032,workers_f_for_profit,374.0
480291414041,workers_f_for_profit,452.0
480291414043,workers_f_for_profit,93.0
480291416002,workers_f_for_profit,285.0
480291513011,workers_f_for_profit,167.0
480291513012,workers_f_for_profit,89.0
480291513013,workers_f_for_profit,215.0
480291513014,workers_f_for_profit,487.0
480291513021,workers_f_for_profit,232.0
480291513022,workers_f_for_profit,188.0
480291521003,workers_f_for_profit,101.0
480291521004,workers_f_for_profit,232.0
480291522011,workers_f_for_profit,299.0
480291522012,workers_f_for_profit,182.0
480291522013,workers_f_for_profit,275.0
480291522021,workers_f_for_profit,405.0
480291605011,workers_f_for_profit,268.0
480291605012,workers_f_for_profit,90.0
480291605021,workers_f_for_profit,60.0
480291609013,workers_f_for_profit,139.0
480291605022,workers_f_for_profit,220.0
480291605024,workers_f_for_profit,197.0
480291609011,workers_f_for_profit,128.0
480291609021,workers_f_for_profit,378.0
480291609023,workers_f_for_profit,230.0
480291613022,workers_f_for_profit,189.0
480291613032,workers_f_for_profit,386.0
480291613041,workers_f_for_profit,290.0
480291614001,workers_f_for_profit,131.0
480291615031,workers_f_for_profit,377.0
480291615033,workers_f_for_profit,181.0
480291615041,workers_f_for_profit,257.0
480291618011,workers_f_for_profit,547.0
480291618012,workers_f_for_profit,145.0
480291618022,workers_f_for_profit,493.0
480291619011,workers_f_for_profit,137.0
480291619022,workers_f_for_profit,280.0
480291619023,workers_f_for_profit,354.0
480291620032,workers_f_for_profit,160.0
480291620033,workers_f_for_profit,106.0
480291620042,workers_f_for_profit,307.0
480291713011,workers_f_for_profit,66.0
480291713021,workers_f_for_profit,426.0
480291713022,workers_f_for_profit,137.0
480291716011,workers_f_for_profit,316.0
480291716013,workers_f_for_profit,140.0
480291716021,workers_f_for_profit,261.0
480291719022,workers_f_for_profit,982.0
480291719023,workers_f_for_profit,1071.0
480291719131,workers_f_for_profit,689.0
480291719132,workers_f_for_profit,271.0
480291719142,workers_f_for_profit,338.0
480291719143,workers_f_for_profit,383.0
480291719161,workers_f_for_profit,539.0
480291719162,workers_f_for_profit,358.0
480291719171,workers_f_for_profit,696.0
480291719172,workers_f_for_profit,756.0
480291215053,workers_f_for_profit,412.0
480291216051,workers_f_for_profit,194.0
480291216052,workers_f_for_profit,106.0
480291216062,workers_f_for_profit,504.0
480291216063,workers_f_for_profit,118.0
480291217011,workers_f_for_profit,272.0
480291217012,workers_f_for_profit,128.0
480291217014,workers_f_for_profit,184.0
480291217021,workers_f_for_profit,751.0
480291217023,workers_f_for_profit,366.0
480291218081,workers_f_for_profit,162.0
480291218091,workers_f_for_profit,239.0
480291218092,workers_f_for_profit,320.0
480291218101,workers_f_for_profit,562.0
480291218102,workers_f_for_profit,287.0
480291218112,workers_f_for_profit,191.0
480291218121,workers_f_for_profit,895.0
480291219032,workers_f_for_profit,334.0
480291218123,workers_f_for_profit,170.0
480291218124,workers_f_for_profit,143.0
480291219031,workers_f_for_profit,368.0
480291219042,workers_f_for_profit,311.0
480291219051,workers_f_for_profit,253.0
480291219061,workers_f_for_profit,438.0
480291219062,workers_f_for_profit,490.0
480291219072,workers_f_for_profit,1541.0
480291219081,workers_f_for_profit,205.0
480291209024,workers_f_for_profit,425.0
480291211103,workers_f_for_profit,347.0
480291211183,workers_f_for_profit,276.0
480291211192,workers_f_for_profit,830.0
480291211193,workers_f_for_profit,313.0
480291211202,workers_f_for_profit,412.0
480291211211,workers_f_for_profit,240.0
480291211212,workers_f_for_profit,262.0
480291211221,workers_f_for_profit,261.0
480291211222,workers_f_for_profit,163.0
480291211223,workers_f_for_profit,567.0
480291215014,workers_f_for_profit,294.0
480291713023,workers_f_for_profit,54.0
480291713024,workers_f_for_profit,47.0
480291714012,workers_f_for_profit,471.0
480291714021,workers_f_for_profit,350.0
480291714023,workers_f_for_profit,405.0
480291715011,workers_f_for_profit,121.0
480291715021,workers_f_for_profit,280.0
480291715022,workers_f_for_profit,30.0
480291715024,workers_f_for_profit,264.0
480291914121,workers_f_for_profit,334.0
480291914131,workers_f_for_profit,593.0
480291914132,workers_f_for_profit,591.0
480291915031,workers_f_for_profit,340.0
480291915032,workers_f_for_profit,493.0
480291915033,workers_f_for_profit,117.0
480291915041,workers_f_for_profit,119.0
480291915042,workers_f_for_profit,162.0
480291915051,workers_f_for_profit,138.0
480291915052,workers_f_for_profit,165.0
480291915061,workers_f_for_profit,331.0
480291915062,workers_f_for_profit,449.0
480291915063,workers_f_for_profit,377.0
480291917012,workers_f_for_profit,101.0
480291917021,workers_f_for_profit,604.0
480291917023,workers_f_for_profit,163.0
480291917024,workers_f_for_profit,104.0
480291918061,workers_f_for_profit,144.0
480291918062,workers_f_for_profit,136.0
480291918071,workers_f_for_profit,641.0
480291918072,workers_f_for_profit,669.0
480291918082,workers_f_for_profit,475.0
480291918091,workers_f_for_profit,663.0
480291918101,workers_f_for_profit,377.0
480291918102,workers_f_for_profit,321.0
