block_group,household_earnings,count_household_earnings
480291605012,house_earnings_yes,226.0
480291605021,house_earnings_yes,126.0
480291609013,house_earnings_yes,188.0
480291605022,house_earnings_yes,209.0
480291605024,house_earnings_yes,252.0
480291609011,house_earnings_yes,180.0
480291609021,house_earnings_yes,407.0
480291609023,house_earnings_yes,280.0
480291613022,house_earnings_yes,431.0
480291613032,house_earnings_yes,440.0
480291613041,house_earnings_yes,425.0
480291614001,house_earnings_yes,381.0
480291615031,house_earnings_yes,461.0
480291615033,house_earnings_yes,154.0
480291615041,house_earnings_yes,362.0
480291618011,house_earnings_yes,772.0
480291618012,house_earnings_yes,238.0
480291618022,house_earnings_yes,721.0
480291619011,house_earnings_yes,270.0
480291619022,house_earnings_yes,609.0
480291619023,house_earnings_yes,950.0
480291620032,house_earnings_yes,344.0
480291620033,house_earnings_yes,201.0
480291620042,house_earnings_yes,436.0
480291713011,house_earnings_yes,227.0
480291713021,house_earnings_yes,178.0
480291713022,house_earnings_yes,199.0
480291716011,house_earnings_yes,441.0
480291716013,house_earnings_yes,359.0
480291716021,house_earnings_yes,511.0
480291719022,house_earnings_yes,1336.0
480291719023,house_earnings_yes,2029.0
480291719131,house_earnings_yes,1109.0
480291719132,house_earnings_yes,364.0
480291719142,house_earnings_yes,583.0
480291719143,house_earnings_yes,507.0
480291719161,house_earnings_yes,926.0
480291719162,house_earnings_yes,438.0
480291719171,house_earnings_yes,1103.0
480291719172,house_earnings_yes,1390.0
480291215053,house_earnings_yes,545.0
480291216051,house_earnings_yes,383.0
480291216052,house_earnings_yes,168.0
480291216062,house_earnings_yes,1103.0
480291216063,house_earnings_yes,291.0
480291217011,house_earnings_yes,380.0
480291217012,house_earnings_yes,217.0
480291217014,house_earnings_yes,403.0
480291217021,house_earnings_yes,1086.0
480291217023,house_earnings_yes,785.0
480291218081,house_earnings_yes,178.0
480291218091,house_earnings_yes,244.0
480291218092,house_earnings_yes,632.0
480291218101,house_earnings_yes,926.0
480291218102,house_earnings_yes,416.0
480291218112,house_earnings_yes,330.0
480291218121,house_earnings_yes,1026.0
480291219032,house_earnings_yes,884.0
480291218123,house_earnings_yes,223.0
480291218124,house_earnings_yes,143.0
480291219031,house_earnings_yes,851.0
480291219042,house_earnings_yes,671.0
480291219051,house_earnings_yes,672.0
480291219061,house_earnings_yes,808.0
480291219062,house_earnings_yes,965.0
480291219072,house_earnings_yes,3081.0
480291219081,house_earnings_yes,507.0
480291209024,house_earnings_yes,522.0
480291211103,house_earnings_yes,419.0
480291211183,house_earnings_yes,541.0
480291211192,house_earnings_yes,1168.0
480291211193,house_earnings_yes,564.0
480291211202,house_earnings_yes,683.0
480291211211,house_earnings_yes,476.0
480291211212,house_earnings_yes,367.0
480291211221,house_earnings_yes,448.0
480291211222,house_earnings_yes,459.0
480291211223,house_earnings_yes,726.0
480291215014,house_earnings_yes,482.0
480291713023,house_earnings_yes,213.0
480291713024,house_earnings_yes,176.0
480291714012,house_earnings_yes,564.0
480291714021,house_earnings_yes,524.0
480291714023,house_earnings_yes,500.0
480291715011,house_earnings_yes,282.0
480291715021,house_earnings_yes,292.0
480291715022,house_earnings_yes,157.0
480291715024,house_earnings_yes,268.0
480291914121,house_earnings_yes,644.0
480291914131,house_earnings_yes,977.0
480291914132,house_earnings_yes,1177.0
480291915031,house_earnings_yes,753.0
480291915032,house_earnings_yes,543.0
480291915033,house_earnings_yes,411.0
480291915041,house_earnings_yes,351.0
480291915042,house_earnings_yes,381.0
480291915051,house_earnings_yes,260.0
480291915052,house_earnings_yes,329.0
480291915061,house_earnings_yes,762.0
480291915062,house_earnings_yes,955.0
480291915063,house_earnings_yes,460.0
480291917012,house_earnings_yes,199.0
480291917021,house_earnings_yes,1352.0
480291917023,house_earnings_yes,346.0
480291917024,house_earnings_yes,260.0
480291918061,house_earnings_yes,279.0
480291918062,house_earnings_yes,506.0
480291918071,house_earnings_yes,1170.0
480291918072,house_earnings_yes,1000.0
480291918082,house_earnings_yes,585.0
480291918091,house_earnings_yes,1417.0
480291918101,house_earnings_yes,887.0
480291918102,house_earnings_yes,711.0
480291918121,house_earnings_yes,675.0
480291918122,house_earnings_yes,380.0
480291918132,house_earnings_yes,728.0
480291821062,house_earnings_yes,936.0
480291905031,house_earnings_yes,434.0
480291905033,house_earnings_yes,439.0
480291905041,house_earnings_yes,405.0
480291906031,house_earnings_yes,362.0
480291906032,house_earnings_yes,408.0
480291906042,house_earnings_yes,333.0
480291906043,house_earnings_yes,349.0
480291910052,house_earnings_yes,252.0
480291910061,house_earnings_yes,244.0
480291910063,house_earnings_yes,561.0
480291801014,house_earnings_yes,212.0
480291801015,house_earnings_yes,241.0
480291801021,house_earnings_yes,211.0
480291806044,house_earnings_yes,204.0
480291801022,house_earnings_yes,331.0
480291806041,house_earnings_yes,577.0
480291806042,house_earnings_yes,547.0
480291806045,house_earnings_yes,206.0
480291810033,house_earnings_yes,1035.0
480291813032,house_earnings_yes,609.0
480291814032,house_earnings_yes,1028.0
480291814033,house_earnings_yes,492.0
480291814042,house_earnings_yes,555.0
480291815032,house_earnings_yes,1658.0
480291817112,house_earnings_yes,649.0
480291817113,house_earnings_yes,980.0
480291817153,house_earnings_yes,416.0
480291817162,house_earnings_yes,434.0
480291817163,house_earnings_yes,881.0
480291817164,house_earnings_yes,249.0
480291817183,house_earnings_yes,548.0
480291817201,house_earnings_yes,1013.0
480291817202,house_earnings_yes,196.0
480291817211,house_earnings_yes,586.0
480291817212,house_earnings_yes,433.0
480291817231,house_earnings_yes,427.0
480291817221,house_earnings_yes,597.0
480291817222,house_earnings_yes,348.0
480291817223,house_earnings_yes,380.0
480291817232,house_earnings_yes,288.0
480291817233,house_earnings_yes,554.0
480291817241,house_earnings_yes,793.0
480291817242,house_earnings_yes,664.0
480291817251,house_earnings_yes,974.0
480291817261,house_earnings_yes,700.0
480291817262,house_earnings_yes,1103.0
480291817271,house_earnings_yes,763.0
480291817272,house_earnings_yes,252.0
480291817282,house_earnings_yes,1267.0
480291817291,house_earnings_yes,2535.0
480291817302,house_earnings_yes,861.0
480291817311,house_earnings_yes,553.0
480291817313,house_earnings_yes,606.0
480291817314,house_earnings_yes,412.0
480291818131,house_earnings_yes,1032.0
480291818133,house_earnings_yes,1000.0
480291818141,house_earnings_yes,1711.0
480291818151,house_earnings_yes,439.0
480291818152,house_earnings_yes,725.0
480291818162,house_earnings_yes,918.0
480291818171,house_earnings_yes,640.0
480291818181,house_earnings_yes,680.0
480291818182,house_earnings_yes,444.0
480291818191,house_earnings_yes,207.0
480291818192,house_earnings_yes,1877.0
480291818202,house_earnings_yes,1251.0
480291818211,house_earnings_yes,301.0
480291818221,house_earnings_yes,359.0
480291818222,house_earnings_yes,474.0
480291818231,house_earnings_yes,997.0
480291818241,house_earnings_yes,409.0
480291912012,house_earnings_yes,388.0
480291910064,house_earnings_yes,358.0
480291912011,house_earnings_yes,353.0
480291912021,house_earnings_yes,512.0
480291912022,house_earnings_yes,618.0
480291912023,house_earnings_yes,107.0
480291912024,house_earnings_yes,378.0
480291913031,house_earnings_yes,634.0
480291913041,house_earnings_yes,297.0
480291913042,house_earnings_yes,709.0
480291914062,house_earnings_yes,595.0
480291914063,house_earnings_yes,547.0
480291914082,house_earnings_yes,511.0
480291914101,house_earnings_yes,628.0
480291914102,house_earnings_yes,1096.0
480291914103,house_earnings_yes,859.0
480291914111,house_earnings_yes,801.0
480291914112,house_earnings_yes,1077.0
480291818242,house_earnings_yes,605.0
480291818251,house_earnings_yes,691.0
480291818252,house_earnings_yes,958.0
480291818261,house_earnings_yes,529.0
480291818262,house_earnings_yes,672.0
480291818263,house_earnings_yes,377.0
480291818264,house_earnings_yes,429.0
480291819011,house_earnings_yes,717.0
480291819012,house_earnings_yes,1146.0
480291819021,house_earnings_yes,1753.0
480291819022,house_earnings_yes,704.0
480291820011,house_earnings_yes,709.0
480291820012,house_earnings_yes,868.0
480291820021,house_earnings_yes,1420.0
480291820023,house_earnings_yes,909.0
480291820032,house_earnings_yes,505.0
480291821012,house_earnings_yes,478.0
480291821022,house_earnings_yes,575.0
480291821023,house_earnings_yes,1160.0
480291821061,house_earnings_yes,886.0
480291918142,house_earnings_yes,621.0
480291918151,house_earnings_yes,821.0
480291918161,house_earnings_yes,498.0
480291918162,house_earnings_yes,423.0
480291918172,house_earnings_yes,933.0
480291919001,house_earnings_yes,261.0
480291919003,house_earnings_yes,177.0
480291919004,house_earnings_yes,128.0
480291920001,house_earnings_yes,353.0
