block_group,household_retirement,count_household_retirement
480291817211,house_retire_yes,226.0
480291817212,house_retire_yes,90.0
480291817231,house_retire_yes,74.0
480291817221,house_retire_yes,151.0
480291817222,house_retire_yes,129.0
480291817223,house_retire_yes,119.0
480291817232,house_retire_yes,110.0
480291817233,house_retire_yes,252.0
480291817241,house_retire_yes,138.0
480291817242,house_retire_yes,166.0
480291817251,house_retire_yes,85.0
480291817261,house_retire_yes,63.0
480291817262,house_retire_yes,148.0
480291817271,house_retire_yes,234.0
480291817272,house_retire_yes,66.0
480291817282,house_retire_yes,108.0
480291817291,house_retire_yes,321.0
480291817302,house_retire_yes,136.0
480291817311,house_retire_yes,119.0
480291817313,house_retire_yes,209.0
480291817314,house_retire_yes,185.0
480291818131,house_retire_yes,10.0
480291818133,house_retire_yes,97.0
480291818141,house_retire_yes,92.0
480291818151,house_retire_yes,169.0
480291818152,house_retire_yes,61.0
480291818162,house_retire_yes,271.0
480291818171,house_retire_yes,94.0
480291818181,house_retire_yes,265.0
480291818182,house_retire_yes,115.0
480291818191,house_retire_yes,0.0
480291818192,house_retire_yes,147.0
480291818202,house_retire_yes,103.0
480291818211,house_retire_yes,115.0
480291818221,house_retire_yes,98.0
480291818222,house_retire_yes,131.0
480291818231,house_retire_yes,99.0
480291818241,house_retire_yes,127.0
480291912012,house_retire_yes,80.0
480291910064,house_retire_yes,42.0
480291912011,house_retire_yes,97.0
480291912021,house_retire_yes,143.0
480291912022,house_retire_yes,81.0
480291912023,house_retire_yes,53.0
480291912024,house_retire_yes,163.0
480291913031,house_retire_yes,175.0
480291913041,house_retire_yes,87.0
480291913042,house_retire_yes,67.0
480291914062,house_retire_yes,149.0
480291914063,house_retire_yes,240.0
480291914082,house_retire_yes,62.0
480291914101,house_retire_yes,15.0
480291914102,house_retire_yes,29.0
480291914103,house_retire_yes,0.0
480291914111,house_retire_yes,183.0
480291914112,house_retire_yes,176.0
480291818242,house_retire_yes,83.0
480291818251,house_retire_yes,50.0
480291818252,house_retire_yes,160.0
480291818261,house_retire_yes,92.0
480291818262,house_retire_yes,191.0
480291818263,house_retire_yes,53.0
480291818264,house_retire_yes,186.0
480291819011,house_retire_yes,46.0
480291819012,house_retire_yes,81.0
480291819021,house_retire_yes,202.0
480291819022,house_retire_yes,206.0
480291820011,house_retire_yes,197.0
480291820012,house_retire_yes,122.0
480291820021,house_retire_yes,470.0
480291820023,house_retire_yes,163.0
480291820032,house_retire_yes,80.0
480291821012,house_retire_yes,345.0
480291821022,house_retire_yes,221.0
480291821023,house_retire_yes,358.0
480291821061,house_retire_yes,217.0
480291918142,house_retire_yes,145.0
480291918151,house_retire_yes,156.0
480291918161,house_retire_yes,355.0
480291918162,house_retire_yes,102.0
480291918172,house_retire_yes,186.0
480291919001,house_retire_yes,101.0
480291919003,house_retire_yes,31.0
480291919004,house_retire_yes,21.0
480291920001,house_retire_yes,54.0
