block_group,household_ssdi,count_household_ssdi
480291414032,house_sup_sec_yes,16.0
480291414041,house_sup_sec_yes,62.0
480291414043,house_sup_sec_yes,178.0
480291416002,house_sup_sec_yes,24.0
480291513011,house_sup_sec_yes,28.0
480291513012,house_sup_sec_yes,26.0
480291513013,house_sup_sec_yes,10.0
480291513014,house_sup_sec_yes,34.0
480291513021,house_sup_sec_yes,34.0
480291513022,house_sup_sec_yes,53.0
480291521003,house_sup_sec_yes,20.0
480291521004,house_sup_sec_yes,45.0
480291522011,house_sup_sec_yes,55.0
480291522012,house_sup_sec_yes,0.0
480291522013,house_sup_sec_yes,22.0
480291522021,house_sup_sec_yes,28.0
480291605011,house_sup_sec_yes,99.0
480291605012,house_sup_sec_yes,14.0
480291605021,house_sup_sec_yes,18.0
480291609013,house_sup_sec_yes,69.0
480291605022,house_sup_sec_yes,30.0
480291605024,house_sup_sec_yes,27.0
480291609011,house_sup_sec_yes,41.0
480291609021,house_sup_sec_yes,5.0
480291609023,house_sup_sec_yes,57.0
480291613022,house_sup_sec_yes,32.0
480291613032,house_sup_sec_yes,78.0
480291613041,house_sup_sec_yes,78.0
480291614001,house_sup_sec_yes,0.0
480291615031,house_sup_sec_yes,0.0
480291615033,house_sup_sec_yes,36.0
480291615041,house_sup_sec_yes,47.0
480291618011,house_sup_sec_yes,23.0
480291618012,house_sup_sec_yes,46.0
480291618022,house_sup_sec_yes,58.0
480291619011,house_sup_sec_yes,15.0
480291619022,house_sup_sec_yes,95.0
480291619023,house_sup_sec_yes,36.0
480291620032,house_sup_sec_yes,46.0
480291620033,house_sup_sec_yes,36.0
480291620042,house_sup_sec_yes,43.0
480291713011,house_sup_sec_yes,56.0
480291713021,house_sup_sec_yes,19.0
480291713022,house_sup_sec_yes,23.0
480291716011,house_sup_sec_yes,24.0
480291716013,house_sup_sec_yes,75.0
480291716021,house_sup_sec_yes,97.0
480291719022,house_sup_sec_yes,0.0
480291719023,house_sup_sec_yes,170.0
480291719131,house_sup_sec_yes,143.0
480291719132,house_sup_sec_yes,50.0
480291719142,house_sup_sec_yes,31.0
480291719143,house_sup_sec_yes,0.0
