block_group,house_income,count_house_income
480291211183,house_ann_inc_000_010,0.0
480291211192,house_ann_inc_000_010,53.0
480291211193,house_ann_inc_000_010,38.0
480291211202,house_ann_inc_000_010,16.0
480291211211,house_ann_inc_000_010,8.0
480291211212,house_ann_inc_000_010,0.0
480291211221,house_ann_inc_000_010,0.0
480291211222,house_ann_inc_000_010,28.0
480291211223,house_ann_inc_000_010,0.0
480291215014,house_ann_inc_000_010,33.0
480291713023,house_ann_inc_000_010,0.0
480291713024,house_ann_inc_000_010,62.0
480291714012,house_ann_inc_000_010,115.0
480291714021,house_ann_inc_000_010,68.0
480291714023,house_ann_inc_000_010,52.0
480291715011,house_ann_inc_000_010,56.0
480291715021,house_ann_inc_000_010,73.0
480291715022,house_ann_inc_000_010,0.0
480291715024,house_ann_inc_000_010,66.0
480291914121,house_ann_inc_000_010,0.0
480291914131,house_ann_inc_000_010,26.0
480291914132,house_ann_inc_000_010,78.0
480291915031,house_ann_inc_000_010,4.0
480291915032,house_ann_inc_000_010,95.0
480291915033,house_ann_inc_000_010,9.0
480291915041,house_ann_inc_000_010,27.0
480291915042,house_ann_inc_000_010,12.0
480291915051,house_ann_inc_000_010,5.0
480291915052,house_ann_inc_000_010,5.0
480291915061,house_ann_inc_000_010,119.0
480291915062,house_ann_inc_000_010,53.0
480291915063,house_ann_inc_000_010,0.0
480291917012,house_ann_inc_000_010,0.0
480291917021,house_ann_inc_000_010,0.0
480291917023,house_ann_inc_000_010,15.0
480291917024,house_ann_inc_000_010,1.0
480291918061,house_ann_inc_000_010,10.0
480291918062,house_ann_inc_000_010,20.0
480291918071,house_ann_inc_000_010,81.0
480291918072,house_ann_inc_000_010,103.0
480291918082,house_ann_inc_000_010,13.0
480291918091,house_ann_inc_000_010,72.0
480291918101,house_ann_inc_000_010,37.0
480291918102,house_ann_inc_000_010,8.0
480291918121,house_ann_inc_000_010,19.0
480291918122,house_ann_inc_000_010,0.0
480291918132,house_ann_inc_000_010,54.0
480291821062,house_ann_inc_000_010,9.0
480291905031,house_ann_inc_000_010,23.0
480291905033,house_ann_inc_000_010,47.0
480291905041,house_ann_inc_000_010,47.0
480291906031,house_ann_inc_000_010,45.0
480291906032,house_ann_inc_000_010,29.0
480291906042,house_ann_inc_000_010,16.0
480291906043,house_ann_inc_000_010,66.0
480291910052,house_ann_inc_000_010,12.0
480291910061,house_ann_inc_000_010,68.0
