block_group,commute_method,count_commute_method
480291316101,commute_car,1462.0
480291316121,commute_car,914.0
480291316141,commute_car,1697.0
480291316152,commute_car,1111.0
480291318011,commute_car,661.0
480291318022,commute_car,301.0
480291411012,commute_car,266.0
480291522022,commute_car,586.0
480291411022,commute_car,206.0
480291414031,commute_car,630.0
480291414042,commute_car,835.0
480291605013,commute_car,180.0
480291605023,commute_car,403.0
480291609012,commute_car,430.0
480291609022,commute_car,549.0
480291613031,commute_car,1032.0
480291613042,commute_car,909.0
480291615032,commute_car,465.0
480291615042,commute_car,1070.0
480291618021,commute_car,2567.0
480291619021,commute_car,500.0
480291620031,commute_car,982.0
