block_group,gender_not_work_age,count_gender_not_work_age
480291218092,sex_not_work_age_tot_m,508.0
480291218101,sex_not_work_age_tot_m,577.0
480291218102,sex_not_work_age_tot_m,206.0
480291218112,sex_not_work_age_tot_m,152.0
480291218121,sex_not_work_age_tot_m,748.0
480291219032,sex_not_work_age_tot_m,607.0
480291218123,sex_not_work_age_tot_m,114.0
480291218124,sex_not_work_age_tot_m,128.0
480291219031,sex_not_work_age_tot_m,378.0
480291219042,sex_not_work_age_tot_m,374.0
480291219051,sex_not_work_age_tot_m,225.0
480291219061,sex_not_work_age_tot_m,398.0
480291219062,sex_not_work_age_tot_m,386.0
480291219072,sex_not_work_age_tot_m,1930.0
480291219081,sex_not_work_age_tot_m,392.0
480291209024,sex_not_work_age_tot_m,194.0
