block_group,m_biz_type,count_biz_type
480291817163,workers_m_profit,755.0
480291817164,workers_m_profit,284.0
480291817183,workers_m_profit,350.0
480291817201,workers_m_profit,801.0
480291817202,workers_m_profit,159.0
480291817211,workers_m_profit,497.0
480291817212,workers_m_profit,422.0
480291817231,workers_m_profit,534.0
480291817221,workers_m_profit,442.0
480291817222,workers_m_profit,307.0
480291817223,workers_m_profit,442.0
480291817232,workers_m_profit,207.0
480291817233,workers_m_profit,393.0
480291817241,workers_m_profit,554.0
480291817242,workers_m_profit,436.0
480291817251,workers_m_profit,536.0
480291817261,workers_m_profit,381.0
480291817262,workers_m_profit,605.0
480291817271,workers_m_profit,684.0
480291817272,workers_m_profit,202.0
480291817282,workers_m_profit,920.0
480291817291,workers_m_profit,1685.0
480291817302,workers_m_profit,408.0
480291817311,workers_m_profit,365.0
480291817313,workers_m_profit,131.0
480291817314,workers_m_profit,278.0
480291818131,workers_m_profit,642.0
480291818133,workers_m_profit,569.0
480291818141,workers_m_profit,1215.0
480291818151,workers_m_profit,159.0
480291818152,workers_m_profit,533.0
480291818162,workers_m_profit,678.0
480291818171,workers_m_profit,633.0
480291818181,workers_m_profit,339.0
480291818182,workers_m_profit,415.0
480291818191,workers_m_profit,335.0
480291818192,workers_m_profit,1118.0
480291818202,workers_m_profit,1427.0
480291818211,workers_m_profit,206.0
480291818221,workers_m_profit,199.0
480291818222,workers_m_profit,365.0
480291818231,workers_m_profit,670.0
480291818241,workers_m_profit,239.0
480291912012,workers_m_profit,352.0
480291910064,workers_m_profit,422.0
480291912011,workers_m_profit,259.0
480291912021,workers_m_profit,167.0
480291912022,workers_m_profit,569.0
480291912023,workers_m_profit,111.0
480291912024,workers_m_profit,182.0
480291913031,workers_m_profit,405.0
480291913041,workers_m_profit,180.0
480291913042,workers_m_profit,560.0
480291914062,workers_m_profit,371.0
480291914063,workers_m_profit,279.0
480291914082,workers_m_profit,371.0
480291914101,workers_m_profit,325.0
480291914102,workers_m_profit,699.0
480291914103,workers_m_profit,535.0
480291914111,workers_m_profit,241.0
480291914112,workers_m_profit,734.0
480291818242,workers_m_profit,580.0
480291818251,workers_m_profit,358.0
480291818252,workers_m_profit,723.0
480291818261,workers_m_profit,393.0
480291818262,workers_m_profit,493.0
480291818263,workers_m_profit,94.0
480291818264,workers_m_profit,316.0
480291819011,workers_m_profit,798.0
480291819012,workers_m_profit,828.0
480291819021,workers_m_profit,1267.0
480291819022,workers_m_profit,667.0
480291820011,workers_m_profit,403.0
480291820012,workers_m_profit,694.0
480291820021,workers_m_profit,921.0
480291820023,workers_m_profit,741.0
480291820032,workers_m_profit,202.0
480291821012,workers_m_profit,438.0
480291821022,workers_m_profit,311.0
480291821023,workers_m_profit,775.0
480291821061,workers_m_profit,811.0
480291918142,workers_m_profit,461.0
480291918151,workers_m_profit,575.0
480291918161,workers_m_profit,213.0
480291918162,workers_m_profit,223.0
480291918172,workers_m_profit,642.0
480291919001,workers_m_profit,142.0
480291919003,workers_m_profit,170.0
480291919004,workers_m_profit,66.0
480291920001,workers_m_profit,324.0
480291920002,workers_m_profit,374.0
480291920004,workers_m_profit,124.0
480291920005,workers_m_profit,102.0
480291921002,workers_m_profit,203.0
480291922001,workers_m_profit,501.0
480291923001,workers_m_profit,97.0
480291923002,workers_m_profit,728.0
480291923003,workers_m_profit,248.0
480291923004,workers_m_profit,115.0
480299800011,workers_m_profit,0.0
480299800021,workers_m_profit,0.0
480299800031,workers_m_profit,56.0
480299800041,workers_m_profit,0.0
480299800051,workers_m_profit,0.0
480299801001,workers_m_profit,45.0
480291805033,workers_m_profit,430.0
480291704011,workers_m_profit,174.0
480291914081,workers_m_profit,474.0
480291914091,workers_m_profit,837.0
480291412006,workers_m_profit,170.0
480291412003,workers_m_profit,331.0
480291501002,workers_m_profit,325.0
480291407002,workers_m_profit,106.0
480291413002,workers_m_profit,526.0
480291414021,workers_m_profit,672.0
480291806022,workers_m_profit,271.0
480291101003,workers_m_profit,390.0
480291211121,workers_m_profit,502.0
480291519002,workers_m_profit,1058.0
480291409001,workers_m_profit,161.0
